Matchup,Open,Closing Range,Close Start Range,Close End Range,Movement,Event,Fight Date
Tim Sylvia vs Mariusz Pudzianowski,220,+175 ... +175,175,175,+9.7%,Moosin: Gods Of Martial Arts,May 21st 2010
Tim Sylvia vs Fedor Emelianenko,-280,-340 ... -340,-340,-340,+22%,Affliction 1: Banned,Jul 19th 2008
Tim Sylvia vs Antonio Rodrigo,Nogueira,-225 -185 ...,-225,...,-5.8%,UFC 81: Breaking Point,-185 Feb 2nd 2008
Tim Sylvia vs Brandon Vera,-200,-160 ... -160,-160,-160,-12.5%,UFC 77: Hostile Territory,Oct 20th 2007
Abe Wagner vs Eric Prindle,-145,-135 ... -135,-135,-135,+8.9%,Bellator Fighting Championship 52,Oct 1st 2011
Abe Wagner vs Aaron Rosa,-175,-135 ... -135,-135,-135,-14%,Titan Fighting Championship 17,Mar 25th 2011
Abe Wagner vs Tim Sylvia,-675,-450 ... -450,-450,-450,-27.9%,Titan Fighting Championship 16: Sylvia vs. Wagner,Jan 28th 2011
Eric Prindle vs James Thompson,-180,-155 ... -142,-155,-142,-2.6%,Bellator 121: Heidlage vs. Lins,Jun 6th 2014
Eric Prindle vs Peter Graham,-260,-260 ... -240,-260,-240,+9.7%,Bellator Fighting Championship 104: Hawn vs. Weedman,Oct 18th 2013
Eric Prindle vs Thiago Santos,-625,-840 ... -750,-840,-750,+26.2%,Bellator Fighting Championship 75,Oct 5th 2012
Eric Prindle vs Cole Konrad,-1650,-1400 ... -1400,-1400,-1400,+9.3%,Bellator Fighting Championship 70,May 25th 2012
Eric Prindle vs Thiago Santos,-290,-240 ... -240,-240,-240,-3.1%,Bellator Fighting Championship 59,Nov 26th 2011
Eric Prindle vs Ron Sparks,-195,-185 ... -185,-185,-185,+3.7%,Bellator Fighting Championship 56,Oct 29th 2011
Eric Prindle vs Abe Wagner,105,+125 ... +125,125,125,+2.9%,Bellator Fighting Championship 52,Oct 1st 2011
Peter Graham vs Vitaly Minakov vs Peter Graham,210,+250 ... +250,250,250,, ,
Mariusz Pudzianowski vs Peter Graham,385,+534 ... +534,534,534,+11.4%,KSW 32: Road To Wembley,
Karol Bedorf vs Peter Graham,-125,+115 ... +135,115,135,+23.5%,KSW 31,
Siala Siliga vs Peter Graham,100,+125 ... +125,125,125,+20%,Bellator Fighting Championship 111: Dantas vs. Leone,
Cheick Kongo vs Peter Graham,-260,-260 ... -240,-260,-240,+11.1%,Bellator Fighting Championship 107: Kongo vs. Graham,
Eric Prindle vs Peter Graham,330,+300 ... +300,300,300,+1.1%,Bellator Fighting Championship 104: Hawn vs. Weedman,
Kazuyuki Fujita,-450,-360 ... -360,-360,-360,-7.5%,WVR Sengoku: First Battle,Mar 5th 2008
Kazuyuki Fujita,-450,-360 ... -360,-360,-360,-7.5%,WVR Sengoku: First Battle,Mar 5th 2008
Siala Siliga vs Peter Graham,-125,+115 ... +135,115,135,-9.1%,Bellator Fighting Championship 111: Dantas vs. Leone,Mar 7th 2014
Siala Siliga vs Josh Barnett,-1200,-1300 ... -1300,-1300,-1300,+5%,DREAM 13,Mar 22nd 2010
Siala Siliga vs Semmy Schilt,-650,-550 ... -550,-550,-550,-8%,FieLDS: Dynamite!! 2008,Dec 31st 2008
Josh Barnett vs Ronny Markes,195,+240 ... +270,240,270,-7.8%,Bellator and USO Present: Salute the Troops 2019,Dec 20th 2019
Josh Barnett vs Andrei Arlovski,160,+110 ... +120,110,120,+15.2%,UFC Fight Night 93: Arlovski vs. Barnett,Sep 3rd 2016
Josh Barnett vs Ben Rothwell,145,+115 ... +120,115,120,+10.7%,UFC on FOX 18: Johnson vs. Bader,Jan 30th 2016
Josh Barnett vs Roy Nelson,160,+250 ... +285,250,285,-12.7%,UFC Fight Night 75: Nelson vs. Barnett,Sep 26th 2015
Josh Barnett vs Travis Browne,150,+125 ... +135,125,135,+8.4%,UFC 168: Weidman vs. Silva II,Dec 28th 2013
Josh Barnett vs Frank Mir,170,+155 ... +167,155,167,+7.4%,UFC 164: Henderson vs. Pettis II,Aug 31st 2013
Josh Barnett vs Nandor Guelmino,700,+1100 ... +1225,1100,1225,-0.2%,Strikeforce: Marquardt vs. Saffiedine,Jan 12th 2013
Josh Barnett vs Daniel Cormier,105,-125 ... -120,-125,-120,+18.8%,Strikeforce: Barnett vs. Cormier,May 19th 2012
Josh Barnett vs Sergei Kharitonov,195,+290 ... +290,290,290,-8.3%,Strikeforce Grand Prix: Barnett vs. Kharitonov,Sep 10th 2011
Josh Barnett vs Brett Rogers,235,+265 ... +265,265,265,0%,Strikeforce: Overeem vs. Werdum,Jun 18th 2011
Josh Barnett vs Siala Siliga,660,+700 ... +700,700,700,-0.6%,DREAM 13,Mar 22nd 2010
Josh Barnett vs Gilbert Yvel,420,+415 ... +415,415,415,+2.1%,Affliction 2: Day Of Reckoning,Jan 24th 2009
Josh Barnett vs Pedro Rizzo,320,+335 ... +335,335,335,+2.5%,Affliction 1: Banned,Jul 19th 2008
Josh Barnett vs Jeff Monson,250,+260 ... +260,260,260,-1.7%,WVR Sengoku: Second Battle,May 18th 2008
Josh Barnett vs Hidehiko Yoshida,500,+500 ... +500,500,500,0%,WVR Sengoku: First Battle,Mar 5th 2008
Josh Barnett vs Hidehiko Yoshida,500,+500 ... +500,500,500,0%,WVR Sengoku: First Battle,Mar 5th 2008
Frank Mir vs Kubrat Pulev,-205,-2000 ... -1400,-2000,-1400,+70.6%,Triller Triad Combat,Nov 27th 2021
Frank Mir vs Roy Nelson,-140,-213 ... -200,-213,-200,+23.1%,Bellator 231: Mir vs. Nelson 2,Oct 25th 2019
Frank Mir vs Javy Ayala,120,-139 ... -120,-139,-120,+20%,Bellator and USO Present: Salute the Troops,Dec 14th 2018
Frank Mir vs Fedor Emelianenko,140,+124 ... +125,124,125,+7.9%,Bellator 198: Fedor vs. Mir,Apr 28th 2018
Frank Mir vs Mark Hunt,-165,-150 ... -135,-150,-135,-0.9%,UFC Fight Night 85: Hunt vs. Mir,Mar 19th 2016
Frank Mir vs Andrei Arlovski,-180,-155 ... -155,-155,-155,-2.1%,UFC 191: Johnson vs. Dodson II,Sep 5th 2015
Frank Mir vs Todd Duffee,-175,-190 ... -180,-190,-180,+9.6%,UFC Fight Night 71: Mir vs. Duffee,Jul 15th 2015
Frank Mir vs Antonio Silva,-185,-165 ... -155,-165,-155,0%,UFC Fight Night 61: Bigfoot vs. Mir,Feb 22nd 2015
Frank Mir vs Alistair Overeem,-285,-430 ... -420,-430,-420,+32.7%,UFC 169: Barao vs. Faber,Feb 1st 2014
Frank Mir vs Josh Barnett,-230,-185 ... -178,-185,-178,-3.4%,UFC 164: Henderson vs. Pettis II,Aug 31st 2013
Frank Mir vs Daniel Cormier,-350,-375 ... -375,-375,-375,+17.6%,UFC on FOX 7: Henderson vs. Melendez,Apr 20th 2013
Frank Mir vs Junior Dos,Santos,-520 -475 ...,-520,...,+4%,UFC 146: Dos Santos vs. Mir,-455 May 26th 2012
Frank Mir vs Antonio Rodrigo,Nogueira,+190 +190 ...,190,...,+7.2%,UFC 140: Jones vs. Machida,+190 Dec 10th 2011
Frank Mir vs Roy Nelson,-115,+110 ... +110,110,110,-2%,UFC 130: Rampage vs. Hamill,May 28th 2011
Frank Mir vs Mirko Filipovic,200,+190 ... +190,190,190,+8.1%,UFC 119: Mir vs. Cro Cop,Sep 25th 2010
Frank Mir vs Shane Carwin,155,+140 ... +140,140,140,+7.6%,UFC 111: St-Pierre vs. Hardy,Mar 27th 2010
Frank Mir vs Cheick Kongo,125,+150 ... +150,150,150,-1.2%,UFC 107: Penn vs Sanchez,Dec 12th 2009
Frank Mir vs Brock Lesnar,-185,-225 ... -225,-225,-225,+16.4%,UFC 100,Jul 11th 2009
Frank Mir vs Antonio Rodrigo,Nogueira,-350 -400 ...,-350,...,+15.3%,UFC 92: The Ultimate 2008,-400 Dec 27th 2008
Frank Mir vs Brock Lesnar,-155,-175 ... -175,-175,-175,+7.8%,UFC 81: Breaking Point,Feb 2nd 2008
Frank Mir vs Antoni Hardonk,-120,+145 ... +145,145,145,-14.2%,UFC 74: Respect,Aug 25th 2007
Shane Carwin vs Junior Dos,Santos,-195 -155 ...,-195,...,-6.1%,UFC 131: Carwin vs. Dos Santos,-155 Jun 11th 2011
Shane Carwin vs Brock Lesnar,-225,-145 ... -145,-145,-145,-17%,UFC 116: Lesnar vs. Carwin,Jul 3rd 2010
Shane Carwin vs Frank Mir,-185,-150 ... -150,-150,-150,-6.3%,UFC 111: St-Pierre vs. Hardy,Mar 27th 2010
Shane Carwin vs Gabriel Gonzaga,-165,-155 ... -155,-155,-155,0%,UFC 96: Jackson vs Jardine,Mar 7th 2009
Shane Carwin vs Neil Wain vs Shane Carwin,-180,-225 ... -225,-225,-225,, ,
Shane Carwin vs Neil Wain vs Shane Carwin,-180,-225 ... -225,-225,-225,, ,
Gabriel Gonzaga vs Derrick Lewis,-165,-150 ... -145,-150,-145,+1.3%,UFC Fight Night 86: Rothwell vs. Dos Santos,Apr 10th 2016
Gabriel Gonzaga vs Konstantin Erokhin,-110,-145 ... -140,-145,-140,+20.7%,UFC: The Ultimate Fighter 22 Finale: Edgar vs. Mendes,Dec 11th 2015
Gabriel Gonzaga vs Mirko Filipovic,115,+175 ... +180,175,180,-12%,UFC Fight Night 64: Gonzaga vs. Cro Cop II,Apr 11th 2015
Gabriel Gonzaga vs Matt Mitrione,-150,-130 ... -120,-130,-120,0%,UFC on FOX 13: Dos Santos vs. Miocic,Dec 13th 2014
Gabriel Gonzaga vs Stipe Miocic,-210,-310 ... -290,-310,-290,+26.8%,UFC on FOX 10: Henderson vs. Thomson,Jan 25th 2014
Gabriel Gonzaga vs Shawn Jordan,-135,-155 ... -155,-155,-155,+15.1%,UFC 166: Velasquez vs. Dos Santos III,Oct 19th 2013
Gabriel Gonzaga vs Dave Herman,160,+135 ... +150,135,150,+7.5%,UFC 162: Silva vs. Weidman,Jul 6th 2013
Gabriel Gonzaga vs Travis Browne,-210,-245 ... -225,-245,-225,+16.1%,UFC: The Ultimate Fighter 17 Finale,Apr 13th 2013
Gabriel Gonzaga vs Ben Rothwell,-175,+100 ... +105,100,105,-27.2%,UFC on FX 7: Belfort vs. Bisping,Jan 19th 2013
Gabriel Gonzaga vs Ednaldo Oliveira,105,+130 ... +130,130,130,-1.5%,UFC 142: Aldo vs. Mendes,Jan 14th 2012
Gabriel Gonzaga vs Brendan Schaub,180,+125 ... +125,125,125,+16.2%,UFC 121: Lesnar vs. Velasquez,Oct 23rd 2010
Gabriel Gonzaga vs Junior Dos,Santos,-285 -250 ...,-285,...,+1.5%,UFC on Versus 1: Vera vs. Jones,-250 Mar 21st 2010
Gabriel Gonzaga vs Chris Tuchscherer,260,+315 ... +315,315,315,0%,UFC 102: Couture vs Nogueira,Aug 29th 2009
Gabriel Gonzaga vs Shane Carwin,135,+135 ... +135,135,135,+2.4%,UFC 96: Jackson vs Jardine,Mar 7th 2009
Gabriel Gonzaga vs Josh Hendricks,320,+325 ... +325,325,325,+1.2%,UFC 91: Couture vs Lesnar,Nov 15th 2008
Gabriel Gonzaga vs Justin McCully,415,+375 ... +375,375,375,+3.3%,UFC 86: Jackson vs Griffin,Jul 5th 2008
Gabriel Gonzaga vs Fabricio Werdum,215,+220 ... +220,220,220,-0.5%,UFC 80: Rapid Fire,Jan 19th 2008
Gabriel Gonzaga vs Randy Couture,-105,+135 ... +135,135,135,-6.5%,UFC 74: Respect,Aug 25th 2007
Konstantin Erokhin vs Zhyrgalbek Chomonov,163,+240 ... +240,240,240,-12.3%,Brave CF 46: Eldarov vs. Mafra,Jan 16th 2021
Konstantin Erokhin vs Gabriel Gonzaga,-130,+120 ... +125,120,125,-12.3%,UFC: The Ultimate Fighter 22 Finale: Edgar vs. Mendes,Dec 11th 2015
Konstantin Erokhin vs Viktor Pesta,180,+345 ... +380,345,380,-12%,UFC on FOX 14: Gustafsson vs. Johnson,Jan 24th 2015
Zhyrgalbek Chomonov vs Konstantin Erokhin,-225,-350 ... -350,-350,-350,+22.6%,Brave CF 46: Eldarov vs. Mafra,Jan 16th 2021
Viktor Pesta vs Filip Stawowy vs Viktor Pesta vs Rob Wilkinson,-300,-550 ... -335,-550,-335,, ,Jun 17th 2022
Viktor Pesta vs Omari Akhmedov vs Viktor Pesta vs Stephan Puetz,163,+115 ... +163,115,163,, ,Sep 25th 2021
Viktor Pesta vs Riccardo Nosiglia vs Viktor Pesta vs Marcin Tybura,-145,-110 ... -110,-110,-110,, ,Aug 6th 2016
Viktor Pesta vs Derrick Lewis vs Viktor Pesta vs Konstantin Erokhin,-260,-430 ... -415,-430,-415,, ,Jan 24th 2015
Viktor Pesta vs Ruslan Magomedov vs Viktor Pesta vs Aleksei Oleinik,-155,-140 ... -130,-140,-130,, ,Jan 15th 2017
Viktor Pesta vs Ruslan Magomedov vs Viktor Pesta vs Aleksei Oleinik,-155,-140 ... -130,-140,-130,, ,Jan 15th 2017
Ruslan Magomedov vs Denis Smoldarev,240,+300 ... +300,300,300,-5.2%,ACA,Jul 16th 2021
Ruslan Magomedov vs Shawn Jordan,100,+165 ... +165,165,165,-12.3%,UFC 192: Cormier vs. Gustafsson,Oct 3rd 2015
Ruslan Magomedov vs Josh Copeland,160,+210 ... +240,210,240,-6%,UFC Fight Night 57: Edgar vs. Swanson,Nov 22nd 2014
Ruslan Magomedov vs Viktor Pesta,165,+155 ... +160,155,160,+6.8%,UFC Fight Night 41: Munoz vs. Mousasi,May 31st 2014
Ednaldo Oliveira vs Marcin Wojcik vs Ednaldo Oliveira,275,+460 ... +475,460,475,, ,
Artur Astakhov vs Ednaldo Oliveira,375,+550 ... +550,550,550,+34%,ACA 152,
Elkhan Musaev vs Ednaldo Oliveira vs Szymon Bajor,-350,-350 ... -350,-350,-350,+26.9%,ACA 147,Feb 20th 2021
Ednaldo Oliveira vs Francimar Bodao,170,+100 ... +110,100,110,+20.3%,UFC 163: Aldo vs. Jung,Aug 3rd 2013
Ednaldo Oliveira vs Gabriel Gonzaga,-135,-140 ... -140,-140,-140,+10.9%,UFC 142: Aldo vs. Mendes,Jan 14th 2012
Szymon Bajor vs Phil de,Fries,-500 -500 ...,-500,...,+5.6%,KSW,-500 Jul 15th 2023
Szymon Bajor vs Ronny Markes,-160,-225 ... -155,-225,-155,+9.1%,PFL Week 8,Aug 13th 2022
Szymon Bajor vs Hatef Moeil,-182,-180 ... -180,-180,-180,-0.8%,PFL Week 8,Aug 13th 2022
Szymon Bajor vs Aleksandr Maslov vs Szymon Bajor,-105,-163 ... -130,-163,-130,, ,
Bartosz Szewczyk vs Szymon Bajor vs Ednaldo Oliveira,240,+240 ... +240,240,240,-16.2%,FEN,Feb 20th 2021
Szymon Bajor vs Valentin Moldavsky,-280,-350 ... -350,-350,-350,+14.3%,Rizin 3,Dec 29th 2016
Szymon Bajor vs Michal Wlodarek,-735,-750 ... -750,-750,-750,+0.9%,KSW 30: Genesis,Feb 21st 2015
Oli Thompson vs Adam Wieczorek,-400,-300 ... -300,-300,-300,-17.2%,MMA Attack,Sep 24th 2022
Oli Thompson vs Michal Andryszak vs Oli Thompson,200,+255 ... +265,255,265,, ,
Cheick Kongo vs Oli Thompson,285,+235 ... +250,235,250,+16.7%,Bellator 172: Thomson vs. Pitbull,
Matt Mitrione vs Oli Thompson,-110,-120 ... -120,-120,-120,-12.2%,Bellator 158: London,
Mariusz Pudzianowski vs Oli Thompson,-190,-210 ... -210,-210,-210,-4.1%,KSW 27: Cage Time,
Kamil Walus vs Oli Thompson,185,+250 ... +270,250,270,-3.4%,KSW 25: Khalidov vs. Sakurai,
Karol Bedorf vs Oli Thompson,175,+190 ... +190,190,190,+20.8%,KSW 22: Pride Time,
Phil de vs Oli Thompson,160,+200 ... +200,200,200,+5.2%,UFC on FOX 4: Shogun vs. Vera,
Shawn Jordan,-185,-220 ... -220,-220,-220,+13.3%,UFC on FX 2: Alves vs. Kampmann,Mar 2nd 2012
Shawn Jordan,-185,-220 ... -220,-220,-220,+13.3%,UFC on FX 2: Alves vs. Kampmann,Mar 2nd 2012
Michal Wlodarek vs Darko Stosic,-105,-260 ... -200,-260,-200,+34.5%,KSW 59: Fight Code,Mar 20th 2021
Michal Wlodarek vs Szymon Bajor,445,+450 ... +450,450,450,-0.2%,KSW 30: Genesis,Feb 21st 2015
Kamil Walus vs Oli Thompson,-190,-210 ... -210,-210,-210,+3.8%,KSW 25: Khalidov vs. Sakurai,Dec 7th 2013
Kamil Walus vs Christos Piliafas,-130,-110 ... +105,-110,105,-7.2%,KSW 22: Pride Time,Mar 16th 2013
Christos Piliafas vs Kamil Walus,-110,-130 ... -125,-130,-125,+10.2%,KSW 22: Pride Time,Mar 16th 2013
Christos Piliafas vs Mariusz Pudzianowski,-185,-165 ... -160,-165,-160,-11.3%,KSW 20: Fighting Symphony,Sep 15th 2012
Teodoras Aukstuolis vs Omari Akhmedov,-400,-590 ... -365,-590,-365,+10.3%,PFL Week 4,Jun 17th 2022
Teodoras Aukstuolis vs Marthin Hamlet,-200,-320 ... -263,-320,-263,+20.2%,PFL Week 1,Apr 20th 2022
Teodoras Aukstuolis vs Karl Albrektsson,-175,-210 ... -210,-210,-210,+9.6%,Rizin FF 6: Bantamweight Grand Prix opening round,Jul 30th 2017
Teodoras Aukstuolis vs Jaideep Singh,190,+160 ... +160,160,160,+7.2%,Rizin 1,Apr 17th 2016
Teodoras Aukstuolis vs Bruno Cappelozza,-190,-180 ... -180,-180,-180,-4.2%,Rizin Fighting Federation 1: Day 1,Dec 29th 2015
Teodoras Aukstuolis vs Bruno Cappelozza,-190,-180 ... -180,-180,-180,-4.2%,Rizin Fighting Federation 1: Day 1,Dec 29th 2015
Karl Albrektsson vs Grant Neal,160,-245 ... +120,-245,120,+17.1%,Bellator 290,Feb 4th 2023
Karl Albrektsson vs Karl Moore,240,+320 ... +450,320,450,-12.2%,Bellator 285,Sep 23rd 2022
Karl Albrektsson vs Dovletdzhan Yagshimuradov,130,+160 ... +180,160,180,-10.4%,Bellator 268,Oct 16th 2021
Karl Albrektsson vs Vladimir Mishchenko,240,+260 ... +260,260,260,-2.9%,Superior Challenge 22,May 29th 2021
Karl Albrektsson vs Phil Davis,-280,-460 ... -450,-460,-450,+28.6%,Bellator 231: Mir vs. Nelson 2,Oct 25th 2019
Karl Albrektsson vs Jiri Prochazka,-195,-165 ... -165,-165,-165,-13.3%,Rizin FF 8: World Grand Prix 2nd Round,Dec 29th 2017
Karl Albrektsson vs Teodoras Aukstuolis,135,+160 ... +160,160,160,-6.5%,Rizin FF 6: Bantamweight Grand Prix opening round,Jul 30th 2017
Karl Albrektsson vs Valentin Moldavsky,-105,+185 ... +185,185,185,-26.4%,Rizin 2,Sep 25th 2016
Karl Albrektsson vs Vadim Nemkov vs Karl Albrektsson,115,+148 ... +165,148,165,, ,
Viktor Nemkov,-145,-200 ... -182,-200,-182,+16%,Bellator 257: Nemkov vs. Davis 2,Apr 16th 2021
Viktor Nemkov,-145,-200 ... -182,-200,-182,+16%,Bellator 257: Nemkov vs. Davis 2,Apr 16th 2021
Chris Fields vs Wagner Prado,110,-190 ... -190,-190,-190,+33.3%,KSW 44: Pudzianowski vs. Bedorf,Jun 9th 2018
Chris Fields vs Martin Wojcik,-310,-285 ... -285,-285,-285,-1.5%,KSW 42: Narkun vs. Khalidov,Mar 3rd 2018
Chris Fields vs Norman Paraisy,-210,-180 ... -135,-180,-135,-19.3%,Cage Warriors 55: Pendred vs. Mills,Jun 1st 2013
Chris Fields vs Jesse Taylor,-280,-230 ... -230,-230,-230,-11.1%,Cage Warriors 51,Dec 31st 2012
Chris Fields vs Pavel Kusch,-290,-180 ... -180,-180,-180,-24%,Cage Warriors Fight Night 7,Sep 1st 2012
Chris Fields vs John Phillips,115,+140 ... +140,140,140,-3.6%,Cage Warriors 48,Jul 21st 2012
Chris Fields vs Jack Mason,-165,-145 ... -145,-145,-145,-9.3%,Cage Warriors 45: Lloret vs. Brents,Feb 18th 2012
Chris Fields vs John Redmond,270,+320 ... +320,320,320,-3.4%,Cage Contender 10,Jul 23rd 2011
Chris Fields vs Mario Stapel,125,+125 ... +125,125,125,, ,May 28th 2011
Wagner Prado vs Elmar Gasanov,-260,-150 ... -150,-150,-150,-36.4%,ACA 156,Apr 28th 2023
Wagner Prado vs Grigor Matevosyan,-200,-185 ... -160,-185,-160,-7%,ACA 141,Jul 22nd 2022
Wagner Prado vs Elkhan Musaev,-200,-175 ... -155,-175,-155,-13%,ACA 133,Dec 4th 2021
Wagner Prado vs Chris Fields,-150,+150 ... +150,150,150,-37.6%,KSW 44: Pudzianowski vs. Bedorf,Jun 9th 2018
Wagner Prado vs Ildemar Alcantara,220,+195 ... +195,195,195,+6.7%,UFC on FX 7: Belfort vs. Bisping,Jan 19th 2013
Wagner Prado vs Phil Davis,-350,-360 ... -355,-360,-355,+14.6%,UFC 153: Silva vs. Bonnar,Oct 13th 2012
Wagner Prado vs Phil Davis,-675,-750 ... -685,-750,-685,+22%,UFC on FOX 4: Shogun vs. Vera,Aug 4th 2012
Wagner Prado vs Phil Davis,-675,-750 ... -685,-750,-685,+22%,UFC on FOX 4: Shogun vs. Vera,Aug 4th 2012
Max Nunes vs Luke Barnatt,-280,-205 ... -160,-205,-160,-16.3%,ACB 63: Celinski vs Magalhaes,Jul 1st 2017
Max Nunes vs Joachim Christensen,160,+160 ... +160,160,160,0%,Superior Challenge 12,May 16th 2015
Max Nunes vs Ion Pascu,180,+190 ... +190,190,190,+1.1%,BAMMA 14: Daley vs. da Silva,Dec 14th 2013
Max Nunes vs Jason Jones vs Max Nunes,-275,-350 ... -250,-350,-250,, ,
Marcin Lazarz,195,+210 ... +250,210,250,-2.3%,BAMMA 12: Wallhead vs. Veach,Mar 9th 2013
Marcin Lazarz,195,+210 ... +250,210,250,-2.3%,BAMMA 12: Wallhead vs. Veach,Mar 9th 2013
Joachim Christensen vs Lukasz Sudolski vs Joachim Christensen vs Dominick Reyes,-275,-330 ... -320,-330,-320,, ,Jun 25th 2017
Joachim Christensen vs Gadzhimurad Antigulov vs Joachim Christensen vs Bojan Mihajlovic,175,+187 ... +210,187,210,, ,Jan 15th 2017
Joachim Christensen vs Luis Henrique vs Joachim Christensen vs Max Nunes,-210,-210 ... -210,-210,-210,, ,May 16th 2015
Joachim Christensen vs Matti Makela vs Joachim Christensen vs Dovletdzhan Yagshimuradov,130,+130 ... +130,130,130,, ,Nov 25th 2017
Joachim Christensen vs Matti Makela vs Joachim Christensen vs Dovletdzhan Yagshimuradov,130,+130 ... +130,130,130,, ,Nov 25th 2017
Bojan Mihajlovic vs Abdul-Kerim Edilov,-505,-670 ... -650,-670,-650,+25%,UFC Fight Night 115: Volkov vs. Struve,Sep 2nd 2017
Bojan Mihajlovic vs Joachim Christensen,-245,-250 ... -222,-250,-222,+8%,UFC Fight Night 103: Rodriguez vs. Penn,Jan 15th 2017
Bojan Mihajlovic vs Francis Ngannou,-705,-600 ... -580,-600,-580,+2.7%,UFC on FOX 20: Holm vs. Shevchenko,Jul 23rd 2016
Abdul-Kerim Edilov vs Bojan Mihajlovic,335,+475 ... +485,475,485,-4%,UFC Fight Night 115: Volkov vs. Struve,Sep 2nd 2017
Luis Henrique vs Slim Trabelsi,120,+120 ... +150,120,150,-4.9%,Ares FC 7,Jun 25th 2022
Luis Henrique vs Jordan Johnson,-165,-190 ... -190,-190,-190,+15.1%,UFC on FOX 23: Shevchenko vs. Pena,Jan 28th 2017
Luis Henrique vs Paul Craig,220,+190 ... +205,190,205,+6.5%,UFC on FOX 22: VanZant vs. Waterson,Dec 17th 2016
Luis Henrique vs Joachim Christensen,-115,+100 ... +115,100,115,-1.1%,UFC Fight Night 96: Lineker vs. Dodson,Oct 1st 2016
Marcus Vanttinen vs Jarjis Danho vs Marcus Vanttinen vs Joachim Christensen,165,+165 ... +165,165,165,, ,Sep 21st 2013
Marcus Vanttinen vs John Hawk,250,+260 ... +260,260,260,0%,Bellator Fighting Championship 66,Apr 20th 2012
Marcus Vanttinen vs John Hawk,250,+260 ... +260,260,260,0%,Bellator Fighting Championship 66,Apr 20th 2012
John Hawk vs Marcus Vanttinen,-350,-350 ... -350,-350,-350,+2.8%,Bellator Fighting Championship 66,Apr 20th 2012
John Hawk vs Roger Hollett,-350,-400 ... -400,-400,-400,+23.1%,Bellator Fighting Championship 57,Nov 12th 2011
John Hawk vs Josh Stansbury,-150,-145 ... -145,-145,-145,+6.7%,NAAFS: Fight Night In The Flats 5,Jun 6th 2009
Tim Carpenter vs Travis Wiuff,-245,-275 ... -245,-275,-245,+13.1%,Bellator Fighting Championship 72,Jul 20th 2012
Tim Carpenter vs Christian Mpumbu,165,+155 ... +155,155,155,+2.9%,Bellator Fighting Championship 42,Apr 23rd 2011
Tim Carpenter vs Daniel Gracie,-225,-125 ... -125,-125,-125,-34.1%,Bellator Fighting Championship 38,Mar 26th 2011
Travis Wiuff vs Greg Rebello,-565,-505 ... -505,-505,-505,-9.2%,CES MMA 48: Rebello vs. Wiuff,Feb 2nd 2018
Travis Wiuff vs Mike Kyle,-295,-510 ... -400,-510,-400,+25%,Championship Fighting Alliance 11: Kyle vs. Wiuff II,May 24th 2013
Travis Wiuff vs Ryan Martinez,135,+121 ... +125,121,125,+8.9%,Bellator Fighting Championship 93: Jansen vs. Held,Mar 21st 2013
Travis Wiuff vs Attila Vegh,220,+110 ... +115,110,115,+25.1%,Bellator Fighting Championship 73,Aug 24th 2012
Travis Wiuff vs Tim Carpenter,185,+225 ... +230,225,230,-1.7%,Bellator Fighting Championship 72,Jul 20th 2012
Travis Wiuff vs Chris Davis,250,+285 ... +285,285,285,+0.7%,Bellator Fighting Championship 71,Jun 22nd 2012
Travis Wiuff vs Anthony Gomez,200,+135 ... +135,135,135,+15.8%,Bellator Fighting Championship 60,Mar 9th 2012
Travis Wiuff vs Christian Mpumbu,-260,-185 ... -185,-185,-185,-11.1%,Bellator Fighting Championship 55,Oct 22nd 2011
Travis Wiuff vs Josh Barnes,275,+363 ... +363,363,363,-4.4%,Moosin: Gods Of Martial Arts,May 21st 2010
Travis Wiuff vs Stanislav Nedkov,160,+130 ... +130,130,130,+6.9%,WVR Sengoku: Eighth Battle,May 2nd 2009
Travis Wiuff vs Kazuyuki Fujita,-160,-165 ... -165,-165,-165,+2.1%,WVR Sengoku: Third Battle,Jun 8th 2008
Ryan Martinez vs Lavar Johnson,-120,+115 ... +125,115,125,-5.3%,Bellator Fighting Championship 111: Dantas vs. Leone,Mar 7th 2014
Ryan Martinez vs Vitaly Minakov,-350,-400 ... -365,-400,-365,+15.5%,Bellator Fighting Championship 97: Chandler vs. Rickels,Jul 31st 2013
Ryan Martinez vs Rich Hale,-120,-160 ... -145,-160,-145,+18.1%,Bellator Fighting Championship 96: King Mo vs. Petruzelli,Jun 19th 2013
Ryan Martinez vs Travis Wiuff,-175,-145 ... -131,-145,-131,-5.4%,Bellator Fighting Championship 93: Jansen vs. Held,Mar 21st 2013
Ryan Martinez vs Mike Wessel,180,+330 ... +340,330,340,-10.2%,Bellator Fighting Championship 73,Aug 24th 2012
Ryan Martinez vs Cody Griffin,340,+470 ... +470,470,470,-6.5%,ProElite 3,Jan 21st 2012
Ryan Martinez vs Mark Ellis,-400,-675 ... -675,-675,-675,+25.5%,ProElite 2: Big Guns,Nov 5th 2011
Ryan Martinez vs Mark Ellis,-400,-675 ... -675,-675,-675,+25.5%,ProElite 2: Big Guns,Nov 5th 2011
Nick Rossborough vs Raphael Butler,-705,-950 ... -850,-950,-850,+29.5%,Bellator 119: Weichel vs. Green,May 9th 2014
Nick Rossborough vs Lorenz Larkin,-650,-950 ... -950,-950,-950,+20.7%,Strikeforce Challengers 19: Larkin vs. Rossborough,Sep 23rd 2011
