,Fighter_ID,Fighter_Name,matches
300,c5af5750e8bae4f0,Kyle Bochniak Killer B,
301,984d15d5dc7bfcf9,James Bochnovic ,James Bochnovic
302,1afd74f8cb0719f3,Jeremy Boczulak ,
303,c80095f6092271a7,Tim Boetsch The Barbarian,Tim Boetsch
304,8a56ea383fd26e52,Galore Bofando ,
305,53c21779d84ceb75,Jay Bogan ,
306,d61316139d68dbe3,Roman Bogatov ,Roman Bogatov
307,70a1c7626b5e0599,Derek Bohi Marshmallow,
308,93892752c5fc23ca,Jerry Bohlander ,
309,d227958e8a0c1466,Kotetsu Boku ,Kotetsu Boku
310,9d455d5cfe6a0e35,Kyle Bolt ,
311,2526be54e6a0e62a,Denys Bondar Psycho,
312,8691881b31c16b88,Luc Bondole ,
313,702a72aa7a266d86,Tony Bonello The Gun,
314,934de214814b8ff4,Jesse Bongfeldt Water,
315,d311fbefff44a39b,Marcos Bonilla Murder Marx,
316,c6a33ff198aaaeeb,Stephan Bonnar The American Psycho,Stephan Bonnar
317,07a2bdaa0afdd831,Rogerio Bontorin ,Rogerio Bontorin
318,a4de54ea806fb525,Ray Borg The Tazmexican Devil,Ray Borg
319,0313bf497de9c470,Igor Borisov ,
320,3c85e04b08a05751,Calen Born ,
321,04c8b08b16a5b99e,Tanner Boser The Bulldozer,Tanner Boser
322,e023fa2e648ea0f1,Steve Bosse The Boss,Steve Bosse
323,e8fb8e53bc2e29d6,Marcus Bossett The Grasshopper,
324,239224bedeb2c7a4,Chris Bostick ,
325,5c126c6aac3ef364,Poliana Botelho ,Poliana Botelho
326,545d549d6bf87187,Francois Botha White Buffalo,
327,59851163aaf1aed8,Gregory Bouchelaghem ,
328,2aaf0181432adf0b,Roy Boughton Black Dynamite,
329,611b9c068c9e2c44,Rich Bouphanouvong ,Rich Bouphanouvong
330,dfdd0c5dd0d4bc23,Mike Bourke The Rhino,
331,38b1417ec17072da,Jess Bouscal ,
332,2efbc83a6b9b7f86,Tai Bowden ,
333,81ca2c245b19b3c5,Melton Bowen The Punisher,
334,5488b3c67600333a,Kyron Bowen Bullseye,
335,b26d3e3746fb4024,Brian Bowles ,Brian Bowles
336,3b9f723e2720a238,Roger Bowling Relentless,
337,a95a0504fd73bd3e,Blake Bowman ,
338,8a0a35e7c74bebcc,Ashe Bowman The Archer,
339,1433786ac76cf777,Colley  Bradford ,
340,a6959da32f0e6b5d,Kyle Bradley ,
341,c7011de4765d2497,Paul Bradley The Gentleman,
342,45f7cb591c3ab00b,Sean Brady ,Sean Brady
343,dc950d59dc590aca,Ebenezer Fontes Braga Pitbull,
344,3d074044a33825e7,Ramiz Brahimaj ,Ramiz Brahimaj
345,013da757877044a2,Joe Brammer The South Side Strangler,
346,d2c55d1d2e67773b,David Branch ,David Branch
347,c2e3e67b5911bfb7,Diego Brandao DB,Diego Brandao
348,dc63542668295c23,Michael Bravo ,
349,9c44f290f5726d95,Martin Bravo El Toro,Martin Bravo
350,d80ee110748171ac,Mike Breeden Money,
351,1588b787bda7b540,Tom Breese ,
352,b19fc66613dc75b9,Chris Brennan The Westside Strangler,
353,98f6da59d765ec94,Charlie Brenneman The Spaniard,Charlie Brenneman
354,e319d6697d41f3cf,Robert Breslin The Bullet,
355,106a925d947a0de9,Mack Brewer ,
356,11547e29f253fb89,Marcos Brigagao Ironside,
357,497ba5b12a4bfc47,Jason Brilz Hitman,Jason Brilz
358,81801f57bd0a7c41,Marcus Brimage The Bama Beast,Marcus Brimage
359,cf1a88371c8cb690,Aaron Brink ,
360,01fcef7e3d051722,Henry Briones Bure,Henry Briones
361,3a97fda0de6f1fa4,Marcelo Brito Jungle Boy,
362,2833f50b20e96e52,Antwain Britt The Juggernaut,
363,aa571d75f80fde7d,Drew Brokenshire ,
364,df3c39573d01f55b,Mike Bronzoulis The Greek,
365,b0a6124751a56bc4,Jonathan Brookins ,Jonathan Brookins
366,b6e6c3b1dcaae0a1,Will Brooks Ill,Will Brooks
