Fighter_ID,Fight_ID,Fight_Name,Weight_Class,Opponent,Method,Round_End,Time_End,Fight_format,Referee,Details
1338e2c7480bdf9e,7f16e7725245bb2d,UFC 293: Adesanya vs. Strickland,UFC Middleweight Title Bout,Sean Strickland,Decision - Unanimous,5,5:00,      5 Rnd (5-5-5-5-5),Marc Goddard,Eric Colon 46 - 49.David Lethaby 46 - 49.Clemens Werner 46 - 49.
e5549c82bfb5582d,fe143cb868adfded,UFC 287: Pereira vs. Adesanya 2,UFC Middleweight Title Bout,Israel Adesanya,KO/TKO,2,4:21,      5 Rnd (5-5-5-5-5),Dan Miragliotta,Punch to Head At Distance 
1338e2c7480bdf9e,04f32bb0c0d3a8cc,UFC 281: Adesanya vs. Pereira,UFC Middleweight Title Bout,Alex Pereira,KO/TKO,5,2:01,      5 Rnd (5-5-5-5-5),Marc Goddard,Punches to Head At Distance 
1338e2c7480bdf9e,a7eaf7b101166d3e,UFC 276: Adesanya vs. Cannonier,UFC Middleweight Title Bout,Jared Cannonier,Decision - Unanimous,5,5:00,      5 Rnd (5-5-5-5-5),Herb Dean,Derek Cleary 46 - 49.Junichiro Kamijo 46 - 49.Sal D'amato 45 - 50.
1338e2c7480bdf9e,ca8f73d038c4d6e7,UFC 271: Adesanya vs. Whittaker 2,UFC Middleweight Title Bout,Robert Whittaker,Decision - Unanimous,5,5:00,      5 Rnd (5-5-5-5-5),Herb Dean,Jacob Montalvo 47 - 48.Doug Crosby 47 - 48.Mike Beltran 46 - 49.
1338e2c7480bdf9e,6cd44e1b2d093ea4,UFC 263: Adesanya vs. Vettori 2,UFC Middleweight Title Bout,Marvin Vettori,Decision - Unanimous,5,5:00,      5 Rnd (5-5-5-5-5),Marc Goddard,Derek Cleary 45 - 50.Sal D'amato 45 - 50.Chris Flores 45 - 50.
99df7d0a2a08a8a8,7de9867b7cc2b1b1,UFC 259: Blachowicz vs. Adesanya,UFC Light Heavyweight Title Bout,Israel Adesanya,Decision - Unanimous,5,5:00,      5 Rnd (5-5-5-5-5),Herb Dean,Sal D'amato 46 - 49.Derek Cleary 45 - 49.Junichiro Kamijo 45 - 49.
1338e2c7480bdf9e,fd76b75c28dc247a,UFC 253: Adesanya vs. Costa,UFC Middleweight Title Bout,Paulo Costa,KO/TKO,2,3:59,      5 Rnd (5-5-5-5-5),Jason Herzog,Punch to Head At Distance 
1338e2c7480bdf9e,b46f2f007b622bce,UFC 248: Adesanya vs. Romero,UFC Middleweight Title Bout,Yoel Romero,Decision - Unanimous,5,5:00,      5 Rnd (5-5-5-5-5),Dan Miragliotta,Chris Lee 46 - 49.Sal D'amato 47 - 48.Ron McCarthy 47 - 48.
e1147d3d2dabe1ce,2556b7520536ce1d,UFC 243: Whittaker vs. Adesanya,UFC Middleweight Title Bout,Israel Adesanya,KO/TKO,2,3:33,      5 Rnd (5-5-5-5-5),Marc Goddard,Punch to Head At Distance 
8c0580d4fff106c1,9bfda7c26578aaac,UFC 236: Holloway vs. Poirier 2,UFC Interim Middleweight Title Bout,Israel Adesanya,Decision - Unanimous,5,5:00,      5 Rnd (5-5-5-5-5),Marc Goddard,Mike Bell 46 - 48.Anthony Maness 46 - 48.Ken Coffey 46 - 48.
1338e2c7480bdf9e,4eb91cfc892a108e,UFC 234: Adesanya vs. Silva,Middleweight Bout,Anderson Silva,Decision - Unanimous,3,5:00,      3 Rnd (5-5-5),Herb Dean,Garth Harriman 28 - 29.Albert Shen 27 - 30.Charlie Keech 27 - 30.
b1a3e0aca758b322,e4e1d12441b90866,UFC 230: Cormier vs. Lewis,Middleweight Bout,Israel Adesanya,KO/TKO,1,4:51,      3 Rnd (5-5-5),Herb Dean,Punches to Head At Distance 
0c6d9ea8306c029e,247f9e56965a1c07,The Ultimate Fighter: Undefeated Finale,Middleweight Bout,Israel Adesanya,Decision - Unanimous,5,5:00,      5 Rnd (5-5-5-5-5),Herb Dean,Chris Lee 46 - 49.Derek Cleary 45 - 50.Sal D'amato 45 - 50.
1338e2c7480bdf9e,b8b9a8e504d51ba5,UFC Fight Night: Poirier vs. Gaethje,Middleweight Bout,Marvin Vettori,Decision - Split,3,5:00,      3 Rnd (5-5-5),Herb Dean,Chris Hayes 28 - 29.Chris Lee 29 - 28.Derek Cleary 28 - 29.
826475cc758e60e6,1cd5d5e271b646a3,UFC 221: Romero vs. Rockhold,Middleweight Bout,Israel Adesanya,KO/TKO,2,3:37,      3 Rnd (5-5-5),Steve Perceval,Punches to Head At Distance 
0e9869d712e81f8f,f59b1215176636f6,UFC 10: The Tournament,Open Weight Bout,Felix Lee Mitchell,Decision - Unanimous,2,3:00,      1 Rnd + OT (12-3),John McCarthy,
271fe91f4ba9d2c5,90bce37a788afeaa,UFC 8: David vs Goliath,Open Weight Bout,Sam Adkins,TKO - Doctor's Stoppage,1,0:48,      1 Rnd (10),John McCarthy,Facial Cut
0e9869d712e81f8f,5701dbbbfa4f8313,UFC 8: David vs Goliath,Open Weight Bout,Keith Mielke,KO/TKO,1,0:50,      1 Rnd (10),John McCarthy,Punches to Head On GroundSubmission to Strikes
5f04e3d58d9ce982,823d7037552a8907,UFC 45: Revolution,Lightweight Bout,Nick Agallar,KO/TKO,2,2:14,      3 Rnd (5-5-5),Larry Landless,Punch to Head At Distance 
a08ddd04eaffd81d,d9f5d05b07bae09e,UFC Fight Night: Sandhagen vs. Song,Women's Flyweight Bout,Gillian Robertson,Submission,2,2:19,      3 Rnd (5-5-5),Mark Smith,Rear Naked Choke 
b4192a975027aab6,c6fc43c351b08bda,UFC 272: Covington vs. Masvidal,Women's Flyweight Bout,Mariya Agapova,Submission,2,3:27,      3 Rnd (5-5-5),Herb Dean,Arm Triangle From Half Guard 
70d2329a92864fdb,38957d8eb185391c,UFC Fight Night: Dern vs. Rodriguez,Women's Flyweight Bout,Mariya Agapova,Submission,3,0:53,      3 Rnd (5-5-5),Chris Tognoni,Rear Naked Choke 
a08ddd04eaffd81d,37a6fc5e69a7932d,UFC Fight Night: Munhoz vs. Edgar,Women's Flyweight Bout,Shana Dobson,KO/TKO,2,1:38,      3 Rnd (5-5-5),,Punches to Head From Mount 
a08ddd04eaffd81d,7606d2f8d8b0e889,UFC Fight Night: Eye vs. Calvillo,Women's Flyweight Bout,Hannah Cifers,Submission,1,2:42,      3 Rnd (5-5-5),Dan Miragliotta,Rear Naked Choke 
